Record ID,Date-time 1,Date-time 2,Season,Station ID,Class,SpeciesID,Temperature,Number of individuals,Water use,Behavior
432,15/02/2020 12:38,15/02/2020 15:28,Dry,7,Aves,Hylocichla mustelina,31,1,Yes,Drinking
433,17/02/2020 10:57,17/02/2020 15:55,Dry,7,Aves,Hylocichla mustelina,28,1,Yes,Drinking
434,18/02/2020 10:27,18/02/2020 15:50,Dry,7,Aves,Hylocichla mustelina,28,1,Yes,Drinking
435,19/02/2020 12:42,NA,Dry,7,Aves,Hylocichla mustelina,32,1,Yes,Drinking
436,26/02/2020 14:21,NA,Dry,7,Aves,Hylocichla mustelina,33,1,Yes,Drinking
437,29/02/2020 14:23,NA,Dry,7,Aves,Hylocichla mustelina,29,1,Yes,Drinking
438,11/10/2019 07:25,NA,Rainy,7,Mammalia,Sciurus deppei,25,1,No,Passing
439,21/12/2019 07:31,21/12/2019 07:32,Dry,7,Mammalia,Sciurus deppei,20,1,No,Foraging
440,28/12/2019 12:35,28/12/2019 12:36,Dry,7,Mammalia,Sciurus deppei,28,1,Yes,Drinking
441,30/12/2019 10:47,30/12/2019 10:47,Dry,7,Mammalia,Sciurus deppei,27,1,Yes,Drinking
442,19/01/2020 13:37,NA,Dry,7,Mammalia,Sciurus deppei,26,1,No,Foraging
443,21/01/2020 12:11,21/01/2020 12:12,Dry,7,Mammalia,Sciurus deppei,24,1,Yes,Drinking
444,19/02/2020 13:28,NA,Dry,7,Aves,Sittasomus griseicapillus,33,1,No,Foraging
445,05/01/2020 10:48,NA,Dry,7,Aves,Xiphorhynchus flavigaster,22,1,No,Passing
446,12/01/2020 12:31,NA,Dry,7,Aves,Xiphorhynchus flavigaster,29,1,No,Foraging
447,26/01/2020 14:28,26/01/2020 14:28,Dry,7,Aves,Xiphorhynchus flavigaster,31,1,No,Foraging
448,06/02/2020 16:31,NA,Dry,7,Aves,Xiphorhynchus flavigaster,34,1,No,Foraging
449,07/02/2020 12:52,NA,Dry,7,Aves,Xiphorhynchus flavigaster,29,1,No,Foraging
450,08/02/2020 12:25,NA,Dry,7,Aves,Xiphorhynchus flavigaster,30,1,No,Foraging
451,12/02/2020 15:42,NA,Dry,7,Aves,Xiphorhynchus flavigaster,33,1,No,Foraging
452,18/02/2020 15:12,NA,Dry,7,Aves,Xiphorhynchus flavigaster,33,1,No,Passing
453,19/02/2020 11:14,NA,Dry,7,Aves,Xiphorhynchus flavigaster,29,1,Yes,Drinking
454,20/02/2020 12:48,NA,Dry,7,Aves,Xiphorhynchus flavigaster,32,1,Yes,Drinking
455,04/03/2020 08:46,NA,Dry,7,Aves,Xiphorhynchus flavigaster,27,1,No,Foraging
456,22/11/2019 14:51,22/11/2019 16:24,Dry,8,Aves,Dendrocincla anabatina,29,1,Yes,Bathing
457,23/11/2019 10:09,23/11/2019 16:15,Dry,8,Aves,Dendrocincla anabatina,29,1,Yes,Bathing
458,24/11/2019 13:35,24/11/2019 16:12,Dry,8,Aves,Dendrocincla anabatina,29,1,Yes,Bathing/Drinking
459,25/11/2019 15:56,NA,Dry,8,Aves,Dendrocincla anabatina,28,1,No,Foraging
460,26/11/2019 13:42,26/11/2019 16:19,Dry,8,Aves,Dendrocincla anabatina,30,1,No,Foraging
461,27/11/2019 16:17,NA,Dry,8,Aves,Dendrocincla anabatina,29,1,Yes,Bathing
462,28/11/2019 09:09,28/11/2019 16:01,Dry,8,Aves,Dendrocincla anabatina,27,1,Yes,Bathing
463,30/11/2019 15:08,30/11/2019 15:09,Dry,8,Aves,Dendrocincla anabatina,28,1,Yes,Bathing/Drinking
464,01/12/2019 12:58,01/12/2019 16:12,Dry,8,Aves,Dendrocincla anabatina,29,1,Yes,Bathing/Drinking
465,02/12/2019 09:52,02/12/2019 15:35,Dry,8,Aves,Dendrocincla anabatina,26,1,Yes,Bathing
466,03/12/2019 15:27,NA,Dry,8,Aves,Dendrocincla anabatina,28,1,No,Foraging
467,04/12/2019 16:09,04/12/2019 16:22,Dry,8,Aves,Dendrocincla anabatina,27,1,Yes,Bathing/Drinking
468,05/12/2019 09:12,05/12/2019 16:26,Dry,8,Aves,Dendrocincla anabatina,25,1,Yes,Bathing
469,06/12/2019 11:39,06/12/2019 16:15,Dry,8,Aves,Dendrocincla anabatina,28,1,Yes,Bathing
470,07/12/2019 15:30,07/12/2019 15:34,Dry,8,Aves,Dendrocincla anabatina,29,1,Yes,Bathing
471,08/12/2019 15:44,08/12/2019 16:12,Dry,8,Aves,Dendrocincla anabatina,27,1,Yes,Bathing
472,10/12/2019 15:51,10/12/2019 16:24,Dry,8,Aves,Dendrocincla anabatina,30,1,Yes,Bathing/Drinking
473,11/12/2019 08:39,11/12/2019 15:51,Dry,8,Aves,Dendrocincla anabatina,26,1,Yes,Bathing/Drinking
474,12/12/2019 14:02,12/12/2019 16:21,Dry,8,Aves,Dendrocincla anabatina,29,1,Yes,Bathing/Drinking
475,13/12/2019 11:42,13/12/2019 16:17,Dry,8,Aves,Dendrocincla anabatina,27,1,Yes,Bathing
476,14/12/2019 16:28,14/12/2019 16:36,Dry,8,Aves,Dendrocincla anabatina,28,1,Yes,Bathing
477,15/12/2019 16:14,NA,Dry,8,Aves,Dendrocincla anabatina,28,1,No,Foraging
478,22/11/2019 16:07,22/11/2019 16:07,Dry,8,Aves,Dendrocincla homochroa,28,1,Yes,Bathing
479,23/11/2019 10:07,NA,Dry,8,Aves,Dendrocincla homochroa,28,1,No,Foraging
480,24/11/2019 11:37,24/11/2019 11:38,Dry,8,Aves,Dendrocincla homochroa,29,1,Yes,Bathing/Drinking
481,29/11/2019 13:55,NA,Dry,8,Aves,Dendrocincla homochroa,29,1,No,Foraging
482,04/12/2019 13:00,04/12/2019 13:01,Dry,8,Aves,Dendrocincla homochroa,29,1,Yes,Bathing
