masterid,year,northings,eastings,month1,year1,month2,year2,Deaths,Healthyfrogs,redspots.haemorrhaging,ulcers,limbbreakdown,Toads in pond,Newts in pond,Fish in pond,Other dead animals,No of other dead,Blobs of spawn,Sq feet of spawn,Urban(1)/Rural(0),Pond 1 length (m),Pond 1 width (m),Pond 1 depth (m),Pond 2 length (m),Pond 2 width (m),Pond 2 depth (m),Fishcare,slugpellets,Herbicide,Notes.1,Notes.2,Notes.3,Follow up report_Comments
35,1992,51.563,0.257,3,1992,9,1992,10,5,F,F,F,Yes,Yes,Yes,NA,NA,1,NA,1,2.4,2.4,1.2,NA,NA,NA,No,Yes,Yes,, ,,
36,1992,50.834,-1.84,5,1992,6,1992,4,30,F,F,F,Yes,No,No,NA,NA,0,NA,1,4.2,5.5,0.9,NA,NA,NA,No,No,No,Last cleaned out pond 3 ya., ,,
37,1992,52.363,-1.289,5,1992,NA,1992,2,15,F,F,F,No,No,Yes,NA,NA,NA,NA,1,1.8,1.2,0.9,0.4,0.3,0.4,No,No,Yes,," Own frogs didn't produce spawn, brought tadpoles in from local ponds.",,
38,1992,52.95,-1.225,1,1992,6,1992,6,30,F,F,F,Yes,No,Yes,NA,NA,NA,2,1,3,8,0.4,NA,NA,NA,No,No,No,2 years ago had a lot of spawn which just disappeared, ,,"Lots of spawn, transferred some to canal. Pondspawn disappeared (fish and newts?) but spawn in the canal produced froglets"
39,1992,51.564,0.556,6,1992,8,1992,11,15,F,F,F,No,No,Yes,NA,NA,5,NA,1,2.4,1.5,0.4,NA,NA,NA,No,Yes,Yes,Tadpoles eaten by fish, ,,
40,1992,50.725,-1.805,5,1992,NA,1992,1,15,F,F,F,Yes,Yes,Yes,NA,NA,2,NA,1,1.8,1.8,0.5,2.1,1.5,0.9,No,Yes,No,, ,,
41,1992,51.219,-0.046,4,1992,9,1992,40,30,T,F,F,No,Yes,Yes,NA,NA,6,NA,1,3,0.9,0.9,NA,NA,NA,No,No,No,, Moved 33 adults to a friends pond in '91. Tadpoles died before frogs started to die. Pond was re-lined last year.,,
42,1992,51.37,0.097,4,1992,9,1992,20,5,F,T,T,No,Yes,Yes,NA,NA,4,NA,1,1.8,1.5,0.7,NA,NA,NA,No,Yes,Yes,"2 fish died just after purchase. Pond netted overwinter. Has moevd house since, got a new pond.", ,,"All dead frogs had ulcerated areas, mainly affecting feet but sometimes on the underside. Onle live frog had no toes on one front foot."
43,1992,50.957,-0.143,2,1992,4,1992,38,50,F,F,T,No,Yes,Yes,Newt,3,12,NA,1,3,1.8,0.7,NA,NA,NA,No,Yes,No,, ,,
44,1992,51.071,0.342,6,1992,8,1992,2,5,T,T,T,No,No,Yes,NA,NA,0,NA,0,2.4,1.2,1,NA,NA,NA,No,Yes,No,, ,,
45,1992,51.387,0.065,4,1992,5,1992,4,5,F,F,F,Yes,No,Yes,NA,NA,NA,1,1,1.2,0.9,0.6,NA,NA,NA,No,No,Yes,"6 frogs died in '91. Spawn got caught in netting, so failed. No newts this year. Near to fields.", ,,
46,1992,51.423,-1.735,2,1992,3,1992,21,30,F,F,F,Yes,Yes,Yes,Toad,20,3,NA,1,2.4,1.8,0.9,NA,NA,NA,No,Yes,No,"20 dead, swollen toads in February/march. Fish died from heron predation. Lots of tadpoles died. Row of yews close by, seeds end up in water.", ,,
47,1992,51.353,-0.217,3,1992,4,1992,21,30,F,F,F,Yes,Yes,Yes,Koi,1,2,NA,1,0.9,0.9,1,7.6,3,0.6,No,No,No,Less spawn this year, ,,
48,1992,51.74,0.735,6,1992,8,1992,6,30,F,F,F,No,No,Yes,NA,NA,1,NA,0,3,1.8,0.75,1.2,1.2,0.75,No,No,Yes,"Lots of dead in neighbours pond (august), 7-8 at a time", ,,
49,1992,52.995,-1.13,6,1992,10,1992,8,50,F,F,F,Yes,No,No,NA,NA,12,NA,1,2.7,1.8,0.6,NA,NA,NA,No,No,Yes,2 dead frogs appeared after topping up with tap water., ,,Found after hosing + heavy rain. 1-2 with red legs
50,1992,52.058,1.168,4,1992,9,1992,23,5,F,T,T,No,No,Yes,NA,NA,NA,3,1,2.7,1.5,0.7,NA,NA,NA,No,Yes,No,Fish had growth on mouth, ,,
