masterid,year,northings,eastings,month1,year1,month2,year2,Deaths,Healthyfrogs,redspots.haemorrhaging,ulcers,limbbreakdown,Toads in pond,Newts in pond,Fish in pond,Other dead animals,No of other dead,Blobs of spawn,Sq feet of spawn,Urban(1)/Rural(0),Pond 1 length (m),Pond 1 width (m),Pond 1 depth (m),Pond 2 length (m),Pond 2 width (m),Pond 2 depth (m),Fishcare,slugpellets,Herbicide,Notes.1,Notes.2,Notes.3,Follow up report_Comments
1649,1995,51.008,-2.204,6,1995,NA,1995,1,5,T,F,F,No,No,No,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,No,No,Have no pond, ,,
1650,1995,51.475,-0.243,5,1995,NA,1995,5,30,F,T,F,Yes,No,No,NA,NA,8,NA,1,1.8,0.9,0.6,NA,NA,NA,No,No,No,, ,,
1651,1995,51.721,-0.999,1,1995,NA,1995,18,50,F,F,F,Yes,Yes,No,NA,NA,NA,3,0,2.4,1.8,1,NA,NA,NA,No,No,No,, ,,
1652,1995,51.198,-0.056,8,1995,NA,1995,6,5,F,F,F,No,No,No,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,No,Yes,No,"Have no pond, but have a 1.2m diameter water featuer", ,,
1653,1995,51.464,0.148,8,1995,NA,1995,4,15,F,F,F,Yes,Yes,Yes,NA,NA,3,NA,1,4.2,2.4,0.9,NA,NA,NA,No,No,No,, ,,
1654,1995,51.383,-0.217,7,1995,NA,1995,6,NA,F,F,F,No,No,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,Yes,No,Has no pond, ,,
1655,1995,51.387,-0.045,7,1995,NA,1995,5,15,T,F,F,No,Yes,Yes,NA,NA,4,NA,1,3.3,0.75,0.75,NA,NA,NA,No,No,No,, ,,
1656,1995,51.142,0.902,7,1995,8,1995,15,30,F,F,F,No,Yes,Yes,NA,NA,20,NA,1,2.4,1.8,0.6,NA,NA,NA,No,Yes,No,, ,,
1657,1995,51.76,-1.189,3,1995,NA,1995,1,5,F,F,F,No,No,No,NA,NA,NA,NA,0,1.2,0.9,0.75,NA,NA,NA,No,No,No,, ,,
1658,1995,51.609,0.548,2,1995,NA,1995,2,15,T,T,F,Yes,Yes,Yes,NA,NA,3,NA,1,5.7,3.6,0.75,NA,NA,NA,No,No,No,"In 1993, adult frogs died just as tadpoles were forming", ,,
1659,1995,51.37,0.616,7,1995,NA,1995,18,15,F,F,F,Yes,No,No,NA,NA,NA,NA,1,1.2,1.2,0.6,NA,NA,NA,No,No,No,Terrapin behaving lethargically, ,,
1660,1995,51.138,0.893,7,1995,NA,1995,3,NA,F,F,F,No,No,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,No,No,Has no pond, ,,
1661,1995,50.825,-1.208,5,1995,NA,1995,25,5,F,T,F,No,No,Yes,NA,NA,6,NA,0,1.2,0.75,0.6,NA,NA,NA,No,No,No,, ,,
1662,1995,51.426,0.172,2,1995,NA,1995,18,30,F,F,F,No,Yes,Yes,NA,NA,15,NA,1,3.6,2.1,0.9,NA,NA,NA,No,No,No,, ,,
1663,1995,50.837,-0.153,8,1995,NA,1995,1,NA,F,F,F,No,No,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,No,No,Have no pond, ,,
1664,1995,51.57,0.653,7,1995,NA,1995,40,30,F,F,F,No,No,Yes,NA,NA,5,NA,1,2.4,0.9,0.45,NA,NA,NA,No,No,No,, ,,
1665,1995,51.444,-2,3,1995,NA,1995,20,81,F,F,F,No,Yes,No,Goldfish,50,NA,12,0,6,3.6,1.8,NA,NA,NA,No,No,No,, ,,
1666,1995,50.751,-1.872,7,1995,NA,1995,108,101,F,T,F,Yes,Yes,Yes,Toad,9,80,NA,1,4.5,4.5,0.8,NA,NA,NA,No,No,No,, ,,
1667,1995,51.484,-0.333,4,1995,NA,1995,20,70,F,T,F,No,Yes,Yes,NA,NA,65,NA,1,2.4,0.9,0.9,NA,NA,NA,No,Yes,No,, ,,
1668,1995,50.856,-0.97,7,1995,NA,1995,12,50,F,F,F,No,Yes,Yes,NA,NA,4,NA,0,5.4,5.4,0.6,NA,NA,NA,Yes,No,No,Relined pond 3ya, ,,
1669,1995,51.442,-0.42,3,1995,NA,1995,1,50,F,F,F,Yes,No,Yes,NA,NA,20,NA,1,4.5,2.4,1.35,2.4,1.8,0.9,No,No,No,, ,,
1670,1995,51.602,-0.71,9,1995,NA,1995,5,30,F,F,F,No,No,Yes,NA,NA,2,NA,0,3,3,0.6,NA,NA,NA,No,No,No,, ,,
1671,1995,51.767,-0.299,8,1995,NA,1995,40,50,F,F,F,No,Yes,Yes,NA,NA,5,NA,0,4.5,1.8,1.2,NA,NA,NA,No,No,No,, ,,
1672,1995,50.857,-1.042,7,1995,NA,1995,20,101,F,F,F,No,Yes,Yes,NA,NA,60,NA,1,3.6,1.8,0.75,NA,NA,NA,No,No,No,Fish deaths due to heron, ,,
1673,1995,51.532,0.457,8,1995,NA,1995,20,5,F,F,F,No,No,Yes,NA,NA,3,NA,0,3,2.4,0.6,NA,NA,NA,No,No,No,, ,,
1674,1995,51.387,-0.499,4,1995,NA,1995,2,15,F,F,F,No,No,No,NA,NA,1,NA,1,2.4,0.6,0.5,NA,NA,NA,No,No,No,Had an outbreak of rats recently, ,,
1675,1995,51.354,-0.143,9,1995,NA,1995,3,15,F,F,F,No,No,No,NA,NA,3,NA,1,0.9,0.9,0.3,NA,NA,NA,No,No,No,, ,,
1676,1995,51.177,-0.606,6,1995,NA,1995,6,30,F,T,T,No,Yes,No,NA,NA,10,NA,1,3,1.5,0.75,NA,NA,NA,No,No,No,, ,,
1677,1995,51.775,0.919,8,1995,NA,1995,30,30,F,F,F,Yes,No,No,NA,NA,10,NA,0,2.4,1.5,0.45,NA,NA,NA,No,No,Yes,, ,,
1678,1995,51.347,-0.505,7,1995,NA,1995,15,30,T,F,F,No,Yes,Yes,Starling,2,NA,NA,0,1.95,1,0.9,NA,NA,NA,Yes,No,Yes,, ,Discrepancy between postcode and county,
1679,1995,50.948,-2.616,7,1995,NA,1995,1,5,F,F,F,No,No,No,NA,NA,25,NA,1,1.5,0.9,0.6,NA,NA,NA,No,No,No,, ,,
1680,1995,50.796,-0.008,7,1995,NA,1995,20,70,F,F,F,Yes,Yes,Yes,NA,NA,10,NA,1,7.5,3.6,1.65,NA,NA,NA,No,No,No,, ,,
1681,1995,51.141,0.891,7,1995,NA,1995,8,30,F,F,F,No,No,Yes,NA,NA,20,NA,1,3,2.7,0.9,NA,NA,NA,No,No,No,, ,,
1682,1995,51.936,-0.717,9,1995,NA,1995,1,5,F,F,F,No,Yes,Yes,NA,NA,NA,NA,0,1.5,0.9,1.2,NA,NA,NA,No,No,No,, ,,
1683,1995,51.411,-0.284,6,1995,NA,1995,20,70,F,F,F,No,No,Yes,NA,NA,40,NA,1,2.4,1.2,0.6,NA,NA,NA,No,No,No,, ,,
1684,1995,51.15,1.275,2,1995,NA,1995,4,30,F,F,F,No,No,Yes,NA,NA,3,NA,0,1.65,1.65,0.75,1.65,1.65,0.9,No,Yes,No,Fish in pond 1 only, ,,
1685,1995,51.566,0.548,7,1995,NA,1995,200,50,F,F,T,No,No,Yes,NA,NA,20,NA,1,1.8,1.2,1.2,NA,NA,NA,No,No,No,, ,,
1686,1995,51.605,-0.246,10,1995,NA,1995,9,15,F,F,F,No,No,Yes,NA,NA,5,NA,1,2.35,1.5,0.9,NA,NA,NA,No,No,No,, ,,
1687,1995,51.366,0.519,2,1995,NA,1995,20,30,F,F,F,No,Yes,Yes,NA,NA,10,NA,1,1.8,0.9,0.9,NA,NA,NA,No,No,No,, ,,
1688,1995,50.847,-0.147,8,1995,NA,1995,3,30,F,T,T,No,Yes,Yes,NA,NA,15,NA,1,7.5,1.2,0.75,1.5,1.5,0.6,No,No,No,, ,,
1689,1995,50.243,-4.794,6,1995,NA,1995,3,81,F,T,F,Yes,Yes,No,NA,NA,12,NA,0,3,2.4,0.9,NA,NA,NA,No,Yes,Yes,, ,,
1690,1995,51.434,-0.042,8,1995,NA,1995,20,5,F,F,F,No,Yes,No,NA,NA,8,NA,1,3,2,0.9,NA,NA,NA,No,No,No,, ,,
1691,1995,51.638,0.05,7,1995,NA,1995,25,70,T,F,F,Yes,Yes,Yes,NA,NA,6,NA,1,4.5,1.8,0.6,NA,NA,NA,No,No,No,, ,,
1692,1995,50.65,-1.312,2,1995,NA,1995,2,30,T,F,F,Yes,Yes,No,NA,NA,15,NA,0,6.3,1.8,0.75,NA,NA,NA,No,No,No,, ,,
1693,1995,51.651,-0.486,7,1995,NA,1995,13,5,T,F,F,No,No,Yes,NA,NA,20,NA,1,2.7,1.8,0.75,NA,NA,NA,No,No,No,, ,,
1694,1995,51.42,0.118,3,1995,NA,1995,15,NA,F,F,F,No,Yes,No,NA,NA,NA,6,0,4.5,1.8,0.9,NA,NA,NA,No,No,No,Plants donated from other ponds. , ,,
1695,1995,52.466,1.715,7,1995,NA,1995,2,251,F,F,F,No,Yes,Yes,NA,NA,40,NA,1,3.6,3,0.75,NA,NA,NA,No,No,No,Pond relined 4ya, ,,
1696,1995,51.6,0.03,7,1995,NA,1995,21,5,F,F,F,Yes,No,Yes,NA,NA,6,NA,1,2.4,1.2,0.6,2.4,1.2,0.6,No,No,No,Fish in pond 2, ,,
1697,1995,50.922,-1.426,6,1995,NA,1995,30,30,F,F,F,Yes,Yes,Yes,NA,NA,10,NA,1,3.6,1.5,0.75,NA,NA,NA,Yes,No,No,, ,,
1698,1995,50.839,-0.233,8,1995,NA,1995,180,70,F,F,T,Yes,No,No,Bird,1,5,NA,1,0.9,0.6,0.6,NA,NA,NA,No,No,No,7 fish died during frog mortality, ,,
1699,1995,50.859,-0.933,6,1995,NA,1995,20,30,F,F,F,Yes,Yes,Yes,NA,NA,4,NA,1,1.5,1.2,0.45,NA,NA,NA,No,No,No,, ,,
1700,1995,51.144,0.894,6,1995,NA,1995,16,15,T,T,F,Yes,Yes,Yes,NA,NA,10,NA,1,1.8,1.2,0.9,0.75,0.75,0.9,No,No,No,Fish in pond 2, ,,
1701,1995,51.577,0.55,8,1995,NA,1995,3,15,F,F,F,Yes,No,Yes,NA,NA,NA,NA,1,1.8,0.9,0.5,NA,NA,NA,No,Yes,No,, ,,
1702,1995,51.515,-0.409,7,1995,NA,1995,8,15,F,F,F,No,Yes,Yes,Snail,2,2,NA,1,1.8,1.8,0.6,NA,NA,NA,No,No,No,, ,,
1703,1995,51.32,0.116,7,1995,NA,1995,12,70,F,F,F,Yes,Yes,Yes,NA,NA,20,NA,0,2.6,2.4,0.6,NA,NA,NA,No,No,No,, ,,
1704,1995,50.885,-1.029,8,1995,NA,1995,24,15,F,F,F,Yes,No,Yes,NA,NA,10,NA,1,1.8,1.8,0.45,NA,NA,NA,No,Yes,No,Pond relined 1ya, ,,
1705,1995,53.021,-4.063,3,1995,NA,1995,33,NA,F,F,F,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,"Found whilst walking, On the road, but not run over. Man made lake nearby.", ,,
1706,1995,52.145,1.448,6,1995,NA,1995,1,5,F,F,F,No,No,Yes,NA,NA,6,NA,0,3.9,2.1,0.75,NA,NA,NA,Yes,No,No,, ,,
1707,1995,50.833,-0.415,5,1995,NA,1995,8,30,F,F,F,Yes,No,Yes,NA,NA,20,NA,1,2.4,1.8,1.2,NA,NA,NA,No,Yes,No,, ,,
1708,1995,53.371,-2.222,8,1995,NA,1995,20,30,F,T,F,No,No,Yes,NA,NA,5,NA,1,1.8,1.2,0.6,NA,NA,NA,No,No,No,, ,,
1709,1995,51.292,-0.228,6,1995,NA,1995,5,15,F,T,T,No,No,Yes,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,No,No,No,, ,,
1710,1995,51.315,-0.539,2,1995,3,1995,25,15,F,F,F,Yes,Yes,No,NA,NA,5,NA,1,4.5,2.4,0.6,3,3,0.6,No,No,Yes,, ,,
1711,1995,51.47,0.141,8,1995,NA,1995,15,15,F,F,F,No,No,Yes,NA,NA,5,NA,1,2.4,0.9,1,NA,NA,NA,Yes,No,No,, ,,
1712,1995,51.212,0.249,7,1995,NA,1995,8,5,F,F,F,No,Yes,Yes,Newt,1,NA,NA,0,1.8,1.2,0.9,NA,NA,NA,No,Yes,Yes,Great Crested Newt died in late June. Has 6 newts in total, ,,
1713,1995,51.442,0.376,3,1995,NA,1995,20,NA,F,F,F,No,Yes,Yes,NA,NA,50,NA,1,24,3.6,0.9,NA,NA,NA,No,No,Yes,, ,,
1714,1995,51.651,-0.486,7,1995,NA,1995,15,15,F,F,F,No,No,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,No,No,, ,,
1715,1995,52.383,-1.509,11,1995,NA,1995,2,15,T,F,F,No,Yes,Yes,NA,NA,5,NA,1,1.8,1.5,0.45,NA,NA,NA,No,No,No,, ,,
1716,1995,50.893,-1.008,8,1995,NA,1995,4,15,F,F,F,Yes,No,Yes,NA,NA,10,NA,1,2.4,0.9,0.9,NA,NA,NA,No,No,No,, ,,
1717,1995,51.618,0.295,5,1995,NA,1995,10,30,F,F,F,Yes,Yes,Yes,NA,NA,10,NA,1,1.5,1.2,1.5,NA,NA,NA,No,No,No,, ,,
1718,1995,51.362,-0.331,7,1995,9,1995,30,15,F,F,T,No,No,Yes,NA,NA,10,NA,1,2.1,2.1,0.75,NA,NA,NA,No,Yes,No,, ,,
1719,1995,51.378,1.408,9,1995,NA,1995,30,50,F,F,F,Yes,No,Yes,NA,NA,10,NA,1,4.8,4.8,1.2,NA,NA,NA,No,No,No,, ,,
1720,1995,51.44,-0.098,9,1995,NA,1995,3,5,F,F,F,No,No,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,No,No,No pond, ,,
1721,1995,51.651,-0.379,3,1995,NA,1995,12,50,F,F,F,No,No,No,NA,NA,NA,NA,1,1.5,1.2,0.6,NA,NA,NA,No,No,No,, ,,
1722,1995,50.724,-1.161,7,1995,NA,1995,12,5,F,F,F,Yes,No,No,NA,NA,1,NA,1,2.4,1.2,0.6,NA,NA,NA,No,No,No,, ,,
1723,1995,51.365,-0.165,7,1995,NA,1995,20,100,F,F,F,Yes,Yes,Yes,"Baby coot, moorhen","4,1",100,NA,1,40,20,1.5,NA,NA,NA,No,No,No,Hundreds of sticklebacks, ,,
1724,1995,50.935,-1.448,8,1995,NA,1995,1,15,F,T,F,Yes,No,No,NA,NA,NA,NA,1,1.5,1.2,0.9,NA,NA,NA,No,No,No,, ,,
1725,1995,51.312,-0.314,7,1995,NA,1995,29,15,T,F,F,Yes,No,Yes,Toad,2,30,NA,1,2.4,1.2,0.6,NA,NA,NA,Yes,No,No,,Red spots on tongue ,,
1726,1995,51.367,-0.211,4,1995,NA,1995,2,5,F,F,F,No,No,Yes,NA,NA,NA,NA,1,1.5,0.75,0.6,NA,NA,NA,No,Yes,No,, ,,
1727,1995,51.581,-2.945,1,1995,NA,1995,3,81,F,F,F,Yes,Yes,Yes,NA,NA,30,NA,0,5.4,2.7,0.6,5.4,2.7,0.15,No,Yes,Yes,Fish in pond 1, ,,
1728,1995,51.144,0.897,7,1995,NA,1995,2,5,F,F,F,No,No,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,No,No,No pond. Wasps nest treated in garden a few days before the frogs died., ,,
1729,1995,50.944,-1.012,7,1995,NA,1995,3,15,F,F,F,No,Yes,No,NA,NA,NA,NA,0,1.8,0.6,0.45,NA,NA,NA,No,Yes,Yes,, ,,
1730,1995,51.64,-0.353,2,1995,NA,1995,4,70,F,F,F,No,Yes,Yes,NA,NA,NA,NA,1,3.3,1.5,0.45,NA,NA,NA,No,No,No,, ,,
1731,1995,51.546,0.668,5,1995,7,1995,11,15,F,T,F,Yes,Yes,Yes,Toad,1,4,NA,1,2.7,1.2,0.45,NA,NA,NA,No,No,No,Pond relined 6 months ago. , Tadpoles and baby frogs dying also,,
1732,1995,51.634,0.812,8,1995,NA,1995,20,15,F,F,F,Yes,Yes,Yes,Toad,3,3,NA,1,6,3.6,1.5,NA,NA,NA,No,No,No,, ,,
1733,1995,50.844,-1.047,5,1995,NA,1995,29,15,F,F,F,No,Yes,Yes,Orfe,1,10,NA,1,2.4,1.8,0.75,1.8,1.2,0.6,No,Yes,No,Orfe died during frog mortality for no apparent reason, ,,
1734,1995,51.385,-0.218,7,1995,NA,1995,20,30,T,T,F,Yes,No,Yes,NA,NA,7,NA,1,1.5,0.9,0.45,NA,NA,NA,No,No,No,, ,,
1735,1995,50.908,0.578,8,1995,NA,1995,34,30,F,F,F,No,Yes,Yes,NA,NA,20,NA,0,3.6,1.5,0.9,NA,NA,NA,No,No,No,, ,,
1736,1995,50.86,-1.046,5,1995,NA,1995,8,15,F,F,F,No,Yes,Yes,Koi,17,10,NA,0,2.4,0.9,0.75,3.6,2.4,1.8,Yes,Yes,No,"Fish in pond 2 only. Koi started dying in June, after using Clarapond. Only sign of illness is gills don't work", ,,
1737,1995,50.936,-1,7,1995,8,1995,12,30,F,F,F,No,No,No,NA,NA,NA,NA,0,3,1.5,1.2,NA,NA,NA,No,No,No,, ,,
1738,1995,51.14,0.855,5,1995,NA,1995,5,101,T,F,F,No,Yes,Yes,NA,NA,20,NA,1,3.6,2.4,1.2,1.5,1.2,1.65,Yes,No,No,, ,,
1739,1995,51.608,-0.121,7,1995,NA,1995,2,15,F,F,F,No,No,Yes,NA,NA,10,NA,1,1.8,1.2,0.6,NA,NA,NA,Yes,No,Yes,, ,,
1740,1995,53.511,-2.948,7,1995,NA,1995,12,30,F,T,F,No,No,Yes,NA,NA,NA,NA,1,0.9,0.6,0.15,NA,NA,NA,No,No,No,, ,,
1741,1995,51.304,-0.312,3,1995,NA,1995,2,15,F,F,F,Yes,No,No,NA,NA,NA,2,1,1.5,1.5,0.6,NA,NA,NA,No,No,No,, ,,
1742,1995,51.566,0.548,6,1995,NA,1995,25,70,F,F,F,No,No,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,No,No,No pond. Ditch at end of garden., ,,
1743,1995,51.37,0.616,7,1995,NA,1995,70,50,T,F,F,No,Yes,Yes,NA,NA,30,NA,1,6,1.8,0.6,NA,NA,NA,No,No,No,, ,,
1744,1995,50.86,-1.039,7,1995,NA,1995,31,15,F,F,F,No,Yes,Yes,NA,NA,10,NA,1,3.6,1.8,0.75,NA,NA,NA,No,Yes,No,, ,,
1745,1995,51.218,1.389,7,1995,NA,1995,30,50,T,F,F,No,Yes,Yes,NA,NA,10,NA,1,1.8,1.2,1.2,2.4,1.2,0.9,No,No,No,, ,,
1746,1995,50.885,-1.02,5,1995,NA,1995,22,30,F,F,F,No,No,Yes,NA,NA,8,NA,1,2.4,2.1,1,NA,NA,NA,No,Yes,No,, ,,
1747,1995,52.052,1.191,3,1995,NA,1995,4,15,F,F,T,Yes,Yes,No,Bird,1,10,NA,1,1.5,0.9,0.6,NA,NA,NA,No,No,No,, ,,
1748,1995,50.809,-0.508,2,1995,NA,1995,1,5,T,F,F,No,No,Yes,NA,NA,2,NA,1,2.4,1.5,0.6,NA,NA,NA,No,Yes,No,, ,,
1749,1995,50.912,-1.416,7,1995,NA,1995,4,15,F,F,F,No,No,Yes,NA,NA,5,NA,1,1.65,0.6,0.75,NA,NA,NA,No,No,No,, ,,
1750,1995,51.31,-0.071,7,1995,NA,1995,6,NA,F,F,F,No,Yes,No,NA,NA,NA,NA,1,1.8,1.8,0.6,NA,NA,NA,No,No,No,, ,,
1751,1995,51.142,0.856,7,1995,NA,1995,8,15,F,F,F,No,No,No,NA,NA,10,NA,1,1.5,0.6,0.45,NA,NA,NA,No,Yes,No,, ,,
1752,1995,53.511,-2.946,7,1995,9,1995,35,30,T,F,T,No,No,Yes,NA,NA,10,NA,1,1.5,1.5,0.6,NA,NA,NA,No,No,No,, ,,
1753,1995,51.55,0.723,7,1995,NA,1995,10,5,F,F,F,No,No,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,No,No,No pond, ,,
1754,1995,50.892,-1.015,8,1995,NA,1995,2,15,F,F,T,No,No,Yes,NA,NA,4,NA,1,1.8,1.35,0.75,NA,NA,NA,No,No,No,, ,,
1755,1995,51.574,0.134,3,1995,NA,1995,2,15,F,F,F,Yes,No,Yes,NA,NA,20,NA,1,2.4,1.8,1.2,NA,NA,NA,No,No,No,, ,,
1756,1995,50.731,-1.969,9,1995,NA,1995,4,15,F,F,F,No,No,No,NA,NA,2,NA,1,1.8,1.8,0.9,NA,NA,NA,No,Yes,No,, ,,
1757,1995,50.855,-0.996,7,1995,NA,1995,8,5,F,F,F,No,Yes,Yes,NA,NA,6,NA,1,0.9,0.9,0.9,0.6,0.45,0.45,No,No,No,, ,,
1758,1995,52.44,-1.534,7,1995,NA,1995,3,5,F,T,F,No,No,No,NA,NA,2,NA,1,1.5,1,0.15,NA,NA,NA,No,No,No,, ,,
1759,1995,51.607,0.668,6,1995,NA,1995,20,30,T,T,F,No,No,Yes,NA,NA,12,NA,1,1.95,1.2,1.2,NA,NA,NA,No,No,No,, ,,
1760,1995,50.854,-1.006,6,1995,NA,1995,35,15,F,F,F,No,Yes,No,Slow-worm,1,5,NA,1,1.2,0.45,0.75,NA,NA,NA,No,Yes,Yes,, ,,
1761,1995,50.701,-1.291,5,1995,NA,1995,6,30,F,F,F,No,Yes,Yes,NA,NA,40,NA,0,1.2,1.2,0.6,1,0.6,0.6,No,No,No,, ,,
1762,1995,50.921,-1.425,6,1995,7,1995,60,70,F,F,F,Yes,Yes,Yes,NA,NA,10,NA,1,1.2,0.6,0.6,1.8,0.6,0.9,No,No,No,Fish in pond 2 only, ,,
1763,1995,50.856,-1.206,5,1995,7,1995,4,15,F,T,T,No,No,Yes,NA,NA,10,NA,1,1.95,1.2,0.9,NA,NA,NA,No,No,No,, ,,
1764,1995,51.569,0.532,7,1995,NA,1995,3,70,F,F,F,No,No,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,No,No,, ,,
1765,1995,52.201,-2.222,6,1995,NA,1995,4,15,F,F,F,No,No,Yes,NA,NA,1,NA,1,1.5,0.9,0.45,NA,NA,NA,Yes,No,No,, ,,
1766,1995,51.758,0.138,3,1995,NA,1995,8,50,F,F,F,Yes,No,Yes,NA,NA,40,NA,1,2.4,1.2,0.9,1.2,1.2,0.9,No,Yes,Yes,, ,,
1767,1995,51.399,-0.448,7,1995,NA,1995,1,30,F,F,F,No,Yes,Yes,NA,NA,1,NA,1,1.8,0.9,0.9,NA,NA,NA,No,Yes,Yes,Pond relined 6ya, ,,
1768,1995,51.472,0.028,7,1995,NA,1995,42,30,F,F,F,Yes,Yes,Yes,Toad,2,5,NA,1,5.4,0.9,0.9,0.9,0.9,0.45,No,No,No,, ,,
1769,1995,51.373,0.566,7,1995,NA,1995,5,15,F,F,F,No,No,Yes,NA,NA,5,NA,1,4.5,4.5,0.75,NA,NA,NA,Yes,No,No,, ,,
1770,1995,51.788,-0.171,8,1995,9,1995,11,15,T,F,F,Yes,Yes,No,Newt,1,NA,NA,1,2.4,0.9,0.3,NA,NA,NA,No,Yes,No,Had a lot of flat worms this year, ,,
1771,1995,51.443,0.202,8,1995,10,1995,30,30,F,F,F,Yes,No,Yes,NA,NA,10,NA,1,1.8,1.8,0.9,NA,NA,NA,No,No,Yes,, ,,
1772,1995,50.889,-1.04,5,1995,NA,1995,6,50,F,F,F,No,No,Yes,NA,NA,10,NA,1,1.5,1.2,0.75,1.5,1.2,0.45,No,No,No,Fish in pond 2 only, ,,
1773,1995,51.478,-0.287,5,1995,NA,1995,1,121,F,F,T,Yes,Yes,Yes,NA,NA,10,NA,1,3.6,1.2,0.5,NA,NA,NA,No,Yes,Yes,, ,,
1774,1995,52.334,1.5,4,1995,NA,1995,8,50,F,F,T,No,Yes,No,NA,NA,10,NA,1,1.8,1.2,1.2,NA,NA,NA,No,No,No,, ,,
1775,1995,50.851,-0.402,4,1995,NA,1995,51,15,F,F,F,Yes,Yes,Yes,Toad,10,10,NA,0,6,4.5,0.9,NA,NA,NA,Yes,No,No,Toads look as though mucus coming out of rear end. 2 fish died during frog mortality, ,,
1776,1995,51.42,0.772,3,1995,NA,1995,1,50,F,T,F,No,Yes,No,NA,NA,10,NA,0,3.6,2.4,0.9,NA,NA,NA,No,No,No,, ,,
1777,1995,52.384,-2.227,8,1995,NA,1995,20,15,F,F,F,Yes,Yes,Yes,NA,NA,3,NA,1,1.5,1.5,0.9,3,1.5,0.75,No,No,No,Fish and fountain in pond 2, ,,
1778,1995,50.338,-4.639,7,1995,NA,1995,2,15,F,F,F,No,Yes,No,Froglets,2,20,NA,1,1.5,1.5,0.6,NA,NA,NA,No,No,No,"Froglets found in pond, adult frogs on path", ,,
1779,1995,50.844,-1.049,5,1995,NA,1995,30,50,F,F,T,No,Yes,Yes,NA,NA,10,NA,1,2.4,2.4,0.75,NA,NA,NA,No,No,No,, ,,
1780,1995,50.365,-4.391,5,1995,9,1995,32,50,F,F,F,Yes,Yes,Yes,NA,NA,10,NA,0,3,2.1,1,NA,NA,NA,No,No,No,"First deaths after breeding season, mainly females. No symptoms, but floated", ,,
1781,1995,51.782,0.926,7,1995,NA,1995,51,50,F,F,F,Yes,Yes,No,Newt,NA,20,NA,0,3,1.5,1,NA,NA,NA,No,No,No,Newts (smooth and great crested) died with no symptoms, ,,
1782,1995,52.597,-1.066,8,1995,NA,1995,3,5,F,T,F,No,Yes,Yes,NA,NA,2,NA,1,1.35,0.9,0.45,NA,NA,NA,Yes,No,No,, ,,
1783,1995,52.056,1.186,2,1995,NA,1995,6,50,F,F,F,Yes,Yes,Yes,NA,NA,NA,3.5,1,5.4,2.1,0.6,NA,NA,NA,No,No,No,, ,,
1784,1995,51.555,-0.128,4,1995,NA,1995,2,5,F,F,F,No,Yes,Yes,NA,NA,2,NA,1,1.2,0.6,0.9,NA,NA,NA,No,No,No,, ,,
1785,1995,51.446,0.041,7,1995,NA,1995,4,15,F,T,F,Yes,Yes,Yes,NA,NA,6,NA,1,1.2,1.2,0.75,NA,NA,NA,No,No,No,, ,,
1786,1995,50.921,-1.376,7,1995,NA,1995,12,15,F,F,F,No,No,No,NA,NA,2,NA,1,1.8,1.2,0.75,NA,NA,NA,No,No,No,, ,,
1787,1995,51.789,-1.485,4,1995,7,1995,2,15,F,F,F,No,No,No,NA,NA,3,NA,1,2.1,1.5,0.45,NA,NA,NA,No,No,No,, ,,
1788,1995,50.891,-1.042,3,1995,NA,1995,20,15,F,F,T,No,No,Yes,NA,NA,10,NA,0,3,1.65,0.45,NA,NA,NA,Yes,No,No,, ,,
1789,1995,51.701,0.118,7,1995,NA,1995,1,5,F,F,T,No,Yes,Yes,NA,NA,6,NA,0,5.4,0.9,0.6,NA,NA,NA,No,No,No,Took all spawn out, ,,
1790,1995,50.853,-1.216,5,1995,NA,1995,5,NA,F,T,F,No,No,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,Yes,No,No pond, ,,
1791,1995,51.362,-0.509,9,1995,NA,1995,1,NA,F,F,F,No,No,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,No,No,No pond, ,,
1792,1995,51.393,0.305,7,1995,NA,1995,5,15,F,T,F,No,Yes,No,NA,NA,10,NA,0,2.1,1.2,0.75,2.1,1.2,0.75,No,No,No,, ,,
1793,1995,51.419,-0.378,4,1995,NA,1995,4,70,F,F,F,No,Yes,No,NA,NA,2,NA,1,1.8,0.75,0.3,NA,NA,NA,No,No,No,Spawn has failed for last 3 years, ,,
1794,1995,51.409,-0.221,7,1995,NA,1995,30,30,F,F,F,No,No,No,NA,NA,10,NA,1,2.4,1.2,0.6,NA,NA,NA,No,No,No,, ,,
